FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
10122022;0;29.2;56;998.1;0;0;ORAN AERO
10122022;1;28.1;63;996.5;0;0;ORAN AERO
10122022;2;27.6;69;995.3;0;0;ORAN AERO
10122022;3;27.4;66;995.2;0;0;ORAN AERO
10122022;4;27.4;67;995.4;0;0;ORAN AERO
10122022;5;27.4;66;996.1;0;0;ORAN AERO
10122022;6;27.5;64;996.4;0;0;ORAN AERO
10122022;7;27.0;66;997.8;0;0;ORAN AERO
10122022;8;29.0;61;998.8;320;9;ORAN AERO
10122022;9;31.9;47;999.3;360;9;ORAN AERO
10122022;10;33.8;44;1000.1;360;9;ORAN AERO
10122022;11;35.2;38;1000.1;360;9;ORAN AERO
10122022;12;39.8;27;999.0;360;9;ORAN AERO
10122022;13;40.0;29;998.9;180;24;ORAN AERO
10122022;14;35.5;38;1000.6;180;24;ORAN AERO
10122022;15;34.0;45;1001.8;180;33;ORAN AERO
10122022;16;29.0;68;1003.5;180;24;ORAN AERO
10122022;17;26.6;80;1004.7;180;15;ORAN AERO
10122022;18;23.8;95;1005.7;180;15;ORAN AERO
10122022;19;24.0;93;1005.4;180;9;ORAN AERO
10122022;20;24.0;93;1007.6;320;9;ORAN AERO
10122022;21;24.4;91;1007.9;0;0;ORAN AERO
10122022;22;24.0;91;1007.4;0;0;ORAN AERO
10122022;23;24.2;91;1007.7;360;4;ORAN AERO
