FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
16102023;0;25.6;48;1002.4;180;4;ORAN AERO
16102023;1;23.8;53;1001.8;0;0;ORAN AERO
16102023;2;23.8;55;1002.0;180;9;ORAN AERO
16102023;3;23.6;53;1000.4;0;0;ORAN AERO
16102023;4;23.3;55;1000.3;180;9;ORAN AERO
16102023;5;23.1;54;1000.4;0;0;ORAN AERO
16102023;6;23.0;54;1001.2;180;4;ORAN AERO
16102023;7;22.6;56;1001.5;320;9;ORAN AERO
16102023;8;23.6;47;1002.3;360;9;ORAN AERO
16102023;9;25.5;51;1002.7;360;9;ORAN AERO
16102023;10;29.6;41;1002.2;50;9;ORAN AERO
16102023;11;34.4;26;1001.9;140;15;ORAN AERO
16102023;12;35.8;24;1001.2;140;4;ORAN AERO
16102023;13;38.6;21;1000.4;180;9;ORAN AERO
16102023;14;40.0;20;999.0;180;9;ORAN AERO
16102023;15;40.5;19;997.7;230;4;ORAN AERO
16102023;16;39.0;22;996.7;180;9;ORAN AERO
16102023;17;41.0;20;996.4;0;0;ORAN AERO
16102023;18;39.7;23;997.2;0;0;ORAN AERO
16102023;19;37.8;23;997.6;180;9;ORAN AERO
16102023;20;35.8;28;997.7;0;0;ORAN AERO
16102023;21;35.6;24;997.6;140;15;ORAN AERO
16102023;22;33.0;37;999.7;180;9;ORAN AERO
16102023;23;32.0;36;1000.6;230;4;ORAN AERO
